district_id,state_name,district_name,z_stunting_pct,z_wasting_pct,z_underweight_pct,z_anaemia_children_u5_pct,malnutrition_index_pc1,z_malnutrition_index_pc1
271,Karnataka,Dharwad,1.3780600123009907,-0.32164311355619585,1.116781359292931,0.10817481009393856,1.2364477713551825,0.7993981967832267
272,Karnataka,Gadag,1.3780600123009907,-0.060771279519834534,1.054982603032161,0.36576423240600686,1.4276900121080298,0.9230416744523646
273,Karnataka,Hassan,-0.7580637652212882,-0.5211333395840018,-0.5929842305883662,-0.19096129323620595,-1.0575060395929234,-0.6837073435066378
274,Karnataka,Haveri,-0.4276136780907702,-0.13749828953052906,0.5605925529460031,0.08324680148309344,0.10110394987907746,0.06536654203550597
275,Karnataka,Kalaburagi,0.11526860790936704,0.9827160566256112,0.6841900654675429,0.7646123701795325,1.2534949916309652,0.8104197032830047
276,Karnataka,Kodagu,-0.36860473396032056,0.4763177905550272,-0.7165817431099057,-0.9554202239687974,-0.7656355402184838,-0.49500487155473266
277,Karnataka,Kolar,-0.28599221217769066,-0.47509713357758493,-1.4272674401087584,-0.6645934568422681,-1.503744500639705,-0.9722130364767027
278,Karnataka,Koppal,1.838329776518498,0.6911534185849723,1.672970165639859,0.39900157722046786,2.4049801310698666,1.5548871732524405
279,Karnataka,Mandya,-1.0885138523518065,-1.0428770076567244,-1.3242695130074755,-0.6396654482314225,-2.0949992158195534,-1.3544758089966573
280,Karnataka,Mysuru,-0.7108566099169286,-0.4597517315754461,-0.13979335134272125,-0.7227588102675737,-0.9404066329612404,-0.6079992896167796
281,Karnataka,Raichur,0.7407634156921333,0.7064988205871108,1.1476807374233162,0.6399723271253057,1.6559768789732305,1.070635542910971
282,Karnataka,Ramanagara,-2.115269480221631,0.2154459565186659,-1.004975938993498,-0.47347872415912,-1.7226298500577268,-1.1137285599631932
283,Karnataka,Shivamogga,-0.5338297775255795,0.7064988205871108,0.4987937966852331,0.24943352555539589,0.4867802486550757,0.31471709684757576
284,Karnataka,Tumakuru,0.7997723598225831,-1.1809856256759745,-0.2942902419946457,0.14141215490839834,-0.3071869070259421,-0.19860495949845813
285,Karnataka,Udupi,-1.2301353182648855,-0.15284369153266764,-0.8813784264719586,-0.6313561120278078,-1.4593466550369703,-0.9435085828490444
286,Karnataka,Uttara Kannada,-0.4630190445690397,0.5070085945593049,0.3854960768738217,0.2577428617590105,0.3587449631140224,0.23193869022392702
287,Karnataka,Vijayapura,1.4606725340836197,-0.5518241435882795,0.972584261351135,-0.05801191397836388,1.0109195755410092,0.6535878866073064
288,Karnataka,Yadgir,2.8414818267361426,-0.13749828953052906,1.6111714093790896,0.8393963960120691,2.62786142898218,1.698986189624582
289,Kerala,Alappuzha,-1.5841889830475837,-0.6438965556011128,-0.9431771827327285,-2.957970249040042,-2.8332845304568566,-1.8317979918703737
290,Kerala,Ernakulam,-1.359954995351875,-0.22957070154336218,-1.0461751098340115,-2.4511007406195193,-2.3848462904162613,-1.5418700800232032
291,Kerala,Idukki,-1.0885138523518065,-0.628551153598974,-0.6135838160086228,-2.8167115335785846,-2.328292844899245,-1.5053066897890721
292,Kerala,Kannur,-1.6668015048302136,-0.7052781636096686,-1.200672000485936,-2.3846260509905983,-2.8316690548335752,-1.8307535415263183
293,Kerala,Kasaragod,-0.9704959640909071,-0.9201137916396133,-0.8401792556314456,-2.6255968008954373,-2.4742835493184625,-1.5996937788061227
294,Kerala,Kollam,-2.127071269047721,0.4302815845486104,-1.2933701348770905,-2.775164852560509,-2.7170958169947808,-1.7566787266818844
295,Kerala,Kottayam,-1.1947299517866161,-1.5646206757294472,-1.2624707567467055,-2.417863395805059,-3.069804823570718,-1.9847150015477257
