district_id,state_name,district_name,malnutrition_index_pc1,z_malnutrition_index_pc1
235,Jharkhand,Bokaro,0.427360767046955,0.2763007338181333
236,Jharkhand,Chatra,0.9268558891243815,0.5992383532964498
237,Jharkhand,Deoghar,1.1273097110243462,0.7288373767873552
238,Jharkhand,Dhanbad,-0.9747475247425038,-0.6302016402553202
239,Jharkhand,Dumka,2.219643587808183,1.435061894810601
240,Jharkhand,East Singhbum,1.7447863485131365,1.1280533582463201
241,Jharkhand,Garhwa,1.414796353046593,0.9147055618866446
242,Jharkhand,Giridih,0.786293074886307,0.5083605476665877
243,Jharkhand,Godda,1.7793325879619935,1.1503884719169846
244,Jharkhand,Gumla,1.0647313277320993,0.6883786951346696
245,Jharkhand,Hazaribagh,0.12577190691135903,0.08131506879642111
246,Jharkhand,Jamtara,2.0802194510537726,1.344920276141682
247,Jharkhand,Khunti,2.2283438530545223,1.4406868605475984
248,Jharkhand,Koderma,-0.043340358389060224,-0.028020758455636445
249,Jharkhand,Latehar,1.1188563993844263,0.723372073489997
250,Jharkhand,Lohardaga,1.9674699402522258,1.2720245520269786
251,Jharkhand,Pakur,2.9660584496253604,1.917640058168744
252,Jharkhand,Palamu,1.1301984476631513,0.7307050261240605
253,Jharkhand,Ramgarh,0.6215312208043503,0.401837383402707
254,Jharkhand,Ranchi,1.340053126301226,0.86638196742012
255,Jharkhand,Sahebganj,2.1524467487038885,1.3916172518147791
256,Jharkhand,Saraikela Kharsawan,2.973327134620394,1.9223394670824312
257,Jharkhand,Simdega,1.4644724011324968,0.9468225216023503
258,Jharkhand,West Singhbhum,4.741429465400684,3.0654672624480512
259,Karnataka,Bagalkote,1.450326408627377,0.9376767403067056
260,Karnataka,Ballari,0.9562824141897849,0.6182634278850007
261,Karnataka,Belagavi,1.016724704964918,0.6573410657557306
262,Karnataka,Bengaluru Rural,-0.5323239266859113,-0.34416236330862665
263,Karnataka,Bengaluru Urban,-0.40550693991338294,-0.262171621041908
264,Karnataka,Bidar,0.9713550259135391,0.6280082945198256
265,Karnataka,Chamarajanagara,-0.0810942301226987,-0.05242969645095287
266,Karnataka,Chikkaballapura,-0.8146622524634397,-0.5267020174195131
267,Karnataka,Chikkamagaluru,-0.5691164386332743,-0.3679497552124602
268,Karnataka,Chitradurga,0.10970913150248951,0.07093003354085942
269,Karnataka,Dakshina Kannada,-0.28562095692644257,-0.18466196730675266
270,Karnataka,Davangere,0.640246783864671,0.41393752035050974
271,Karnataka,Dharwad,1.2364477713551825,0.7993981967832267
272,Karnataka,Gadag,1.4276900121080298,0.9230416744523646
273,Karnataka,Hassan,-1.0575060395929234,-0.6837073435066378
274,Karnataka,Haveri,0.10110394987907746,0.06536654203550597
275,Karnataka,Kalaburagi,1.2534949916309652,0.8104197032830047
276,Karnataka,Kodagu,-0.7656355402184838,-0.49500487155473266
277,Karnataka,Kolar,-1.503744500639705,-0.9722130364767027
278,Karnataka,Koppal,2.4049801310698666,1.5548871732524405
279,Karnataka,Mandya,-2.0949992158195534,-1.3544758089966573
280,Karnataka,Mysuru,-0.9404066329612404,-0.6079992896167796
281,Karnataka,Raichur,1.6559768789732305,1.070635542910971
282,Karnataka,Ramanagara,-1.7226298500577268,-1.1137285599631932
283,Karnataka,Shivamogga,0.4867802486550757,0.31471709684757576
284,Karnataka,Tumakuru,-0.3071869070259421,-0.19860495949845813
285,Karnataka,Udupi,-1.4593466550369703,-0.9435085828490444
286,Karnataka,Uttara Kannada,0.3587449631140224,0.23193869022392702
287,Karnataka,Vijayapura,1.0109195755410092,0.6535878866073064
288,Karnataka,Yadgir,2.62786142898218,1.698986189624582
289,Kerala,Alappuzha,-2.8332845304568566,-1.8317979918703737
290,Kerala,Ernakulam,-2.3848462904162613,-1.5418700800232032
291,Kerala,Idukki,-2.328292844899245,-1.5053066897890721
292,Kerala,Kannur,-2.8316690548335752,-1.8307535415263183
293,Kerala,Kasaragod,-2.4742835493184625,-1.5996937788061227
294,Kerala,Kollam,-2.7170958169947808,-1.7566787266818844
295,Kerala,Kottayam,-3.069804823570718,-1.9847150015477257
296,Kerala,Kozhikode,-2.821538436065352,-1.8242038120810222
297,Kerala,Malappuram,-1.3966008475991694,-0.902941656785916
298,Kerala,Palakkad,-0.5681362715127917,-0.3673160496514067
299,Kerala,Pathanamthitta,-3.0251151357531083,-1.9558218637348386
300,Kerala,Thiruvananthapuram,-2.881925593662096,-1.8632458048040894
301,Kerala,Thrissur,-2.6668412529655927,-1.7241877401673236
302,Kerala,Wayanad,-1.633024531710403,-1.055796206030824
303,Ladakh,Kargil,0.3448450262099826,0.22295199078225839
304,Ladakh,Leh Ladakh,-0.3146407850809223,-0.20342410092459573
305,Madhya Pradesh,Agar-Malwa,0.9700063109013516,0.6271363124000023
306,Madhya Pradesh,Alirajpur,0.30006241231221553,0.19399877364970006
307,Madhya Pradesh,Anuppur,-1.0404261870575293,-0.672664739334888
308,Madhya Pradesh,Ashoknagar,-0.07907806119042732,-0.05112618663338766
309,Madhya Pradesh,Balaghat,1.2831984822601517,0.8296238438841996
310,Madhya Pradesh,Barwani,1.8508983390774425,1.1966577391828586
311,Madhya Pradesh,Betul,-0.07752008026282053,-0.0501189082242184
312,Madhya Pradesh,Bhind,-0.24993461787509463,-0.1615897472353983
313,Madhya Pradesh,Bhopal,-0.5731863655086556,-0.3705810771983889
314,Madhya Pradesh,Burhanpur,2.4928178477127343,1.6116767230584175
315,Madhya Pradesh,Chhatarpur,1.6027872902662033,1.0362469805429575
316,Madhya Pradesh,Chhindwara,-0.8935157538251937,-0.5776830198192677
317,Madhya Pradesh,Damoh,0.7262955436529764,0.46957045932601665
318,Madhya Pradesh,Datia,0.24290501421268157,0.1570449111153293
319,Madhya Pradesh,Dewas,0.8402226520648273,0.5432275333561974
320,Madhya Pradesh,Dhar,0.9085407206052112,0.587397082660361
321,Madhya Pradesh,Dindori,0.7577000287475458,0.48987434060358087
322,Madhya Pradesh,Guna,-0.6994806986237223,-0.45223390920233997
323,Madhya Pradesh,Gwalior,0.545987211882461,0.3529960607775343
324,Madhya Pradesh,Harda,1.9757892778847181,1.277403237367287
325,Madhya Pradesh,Indore,0.05207198508706623,0.033666000251591874
326,Madhya Pradesh,Jabalpur,-1.1290018849397172,-0.7299314147305095
327,Madhya Pradesh,Jhabua,2.083715347758142,1.3471804715064652
328,Madhya Pradesh,Katni,2.4830395640325404,1.6053547881391492
329,Madhya Pradesh,Khandwa (East Nimar),1.4879143436797397,0.9619783955789947
330,Madhya Pradesh,Khargone (West Nimar),1.6251549443517852,1.0507082968690709
331,Madhya Pradesh,Mandla,0.07686670001611809,0.049696479551428356
332,Madhya Pradesh,Mandsaur,-0.9930522455851218,-0.6420361561752052
333,Madhya Pradesh,Morena,0.03336236634212758,0.021569706470567114
334,Madhya Pradesh,Narmadapuram,0.4192392298543071,0.2710499320153245
335,Madhya Pradesh,Narsimhapur,0.14423684463159459,0.09325316942568795
336,Madhya Pradesh,Neemuch,-0.18083444792003017,-0.11691454740956984
337,Madhya Pradesh,Panna,1.8948133449892302,1.2250500233948565
338,Madhya Pradesh,Raisen,-0.4125820395133225,-0.26674587156286167
339,Madhya Pradesh,Rajgarh,0.15459068143282972,0.0999472155960519
340,Madhya Pradesh,Ratlam,-0.22877343398860192,-0.14790844776399412
341,Madhya Pradesh,Rewa,0.7292574018098896,0.47148538377702603
342,Madhya Pradesh,Sagar,1.2408447035083656,0.8022409368617505
343,Madhya Pradesh,Satna,1.4045273512939531,0.9080663639568957
344,Madhya Pradesh,Sehore,-0.11513843207212571,-0.0744402287838048
345,Madhya Pradesh,Seoni,-0.09520857206165351,-0.061555014766999386
346,Madhya Pradesh,Shahdol,1.0544877057747644,0.6817559059551093
347,Madhya Pradesh,Shajapur,0.24423642418592678,0.1579057050416469
348,Madhya Pradesh,Sheopur,1.2245613033974572,0.7917132615424014
349,Madhya Pradesh,Shivpuri,0.8734873439936061,0.5647340905763782
350,Madhya Pradesh,Sidhi,0.5929715943207747,0.3833727830850164
351,Madhya Pradesh,Singrauli,0.8036256464869043,0.5195665418089424
352,Madhya Pradesh,Tikamgarh,0.12596317114721467,0.0814387264945417
353,Madhya Pradesh,Ujjain,1.8367398488758826,1.1875038777755993
354,Madhya Pradesh,Umaria,1.071546735949086,0.6927850478858493
355,Maharashtra,Ahmednagar,1.049005098791738,0.6782112466193586
356,Maharashtra,Akola,1.1662263443695113,0.7539980728084266
357,Maharashtra,Amravati,1.1178372514996604,0.7227131657704704
358,Maharashtra,Beed,1.4375383858281143,0.9294089245501621
359,Maharashtra,Bhandara,1.1024356124479004,0.7127555737308255
