district_id,state_name,district_name,z_malnutrition_index_pc1,z_improved_sanitation_pct,z_women_10plus_schooling_pct,z_institutional_deliveries_pct,z_hjg_villages_reported_ratio,cluster,pca1,pca2
180,Gujarat,Valsad,1.0566942123714296,0.9405153514683662,0.37923481346976373,0.5726702185365349,1.2457375286371022,0,0.47351178612595335,0.22599558729822683
181,Haryana,Ambala,-1.3985171565374503,1.0737307919914814,1.0650713320667773,0.6009532308154917,1.2457375286371022,0,2.3077113984138484,0.08873744845090462
182,Haryana,Bhiwani,-1.0654548482441026,1.249014266364001,0.47822152749407487,0.544387206257578,1.2457375286371022,0,1.89265819832809,-0.07867814855444624
183,Haryana,Charki Dadri,-1.2261872773635571,1.2980936391883067,1.0085074954814568,0.5726702185365349,1.2457375286371022,0,2.3079028560362866,0.04052382729549457
184,Haryana,Faridabad,-1.034866068771253,0.863390622744458,1.0862827707862728,0.06357599751530647,1.2457375286371022,0,1.946567086096024,-0.3191876665311153
185,Haryana,Fatehabad,-0.7160892728333328,1.0807421309663818,0.08934515096999487,0.5632425477768817,1.2457375286371022,0,1.3851760186376936,-0.08382070320894033
186,Haryana,Gurugram,-0.8218761905269221,0.8844246396691602,1.3691019537128766,0.544387206257578,1.2457375286371022,0,2.03877322214181,0.20280450349307882
187,Haryana,Hisar,-0.5499529667374697,1.2069462325145957,0.25903666072595694,0.5538148770172299,1.2457375286371022,0,1.458968859621595,-0.051033856596724346
188,Haryana,Jhajjar,-1.742890646659074,1.3892410458620166,1.5882868204809943,0.5349595354979249,1.2457375286371022,0,2.9684467443442117,0.061993782286325495
189,Haryana,Jind,-0.9734533664772208,1.1648781986651915,0.35802337475026813,0.5161041939786198,1.2457375286371022,0,1.7230684374453455,-0.1086522196858832
190,Haryana,Kaithal,-0.11531361802987623,1.249014266364001,0.4004462521892588,0.5820978892961867,1.2457375286371022,0,1.3212245519542396,0.053813749337427365
191,Haryana,Karnal,-0.6848257743529973,0.8143112499201524,0.46408056834774447,0.5820978892961867,1.2457375286371022,0,1.4223655906667803,0.058501493032415454
192,Haryana,Kurukshetra,-0.7170169871346105,0.7512091991460449,0.577208241518386,0.5820978892961867,1.2457375286371022,0,1.46646193198427,0.08885224583409049
193,Haryana,Mahendragarh,-1.2355412355880329,0.5548917078488232,0.8600274244449897,0.525531864738273,1.2457375286371022,0,1.7943897631831918,0.0653996489810327
194,Haryana,Nuh,0.7303318426516419,-0.013026749118139629,-1.8621072112235704,-1.6805430930203813,1.2457375286371022,3,-1.3399778785965464,-2.227838554440171
